Directory,Size
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules,2219625
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/asynckit,27362
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/asynckit/lib,11649
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios,1843235
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/dist,1561896
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/dist/browser,263991
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/dist/esm,436968
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/dist/node,365898
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib,126506
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/adapters,33820
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/cancel,3321
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/core,25517
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/defaults,4458
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/env,268
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/env/classes,106
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/helpers,36408
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform,2670
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform/browser,645
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform/browser/classes,340
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform/common,1464
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform/node,431
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/axios/lib/platform/node/classes,134
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/combined-stream,11514
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/combined-stream/lib,4687
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/delayed-stream,8021
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/delayed-stream/lib,2319
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/follow-redirects,29373
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/form-data,43381
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/form-data/lib,13993
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/mime-db,205539
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/mime-types,18272
/home/ad.rapidops.com/yash.dubey/Desktop/Yash-Dubey/node/node-Exercise-1/task3/node_modules/proxy-from-env,29452
